timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:30:25.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,0.9 %,72,1365 MHz,91 %,291.25 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,14 %
2025-10-19 07:30:27.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,72,1380 MHz,91 %,297.39 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,14 %
2025-10-19 07:30:28.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,71,1410 MHz,37 %,157.58 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,9 %
2025-10-19 07:30:29.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,72,1395 MHz,43 %,162.26 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,10 %
2025-10-19 07:30:31.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,71,1410 MHz,41 %,153.76 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:32.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,72,1395 MHz,42 %,157.60 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,9 %
2025-10-19 07:30:33.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,41 %,149.80 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:35.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,43 %,160.90 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:36.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,50 %,160.71 W,4,13.50 W (freq-based estimate),326.38 W (est),16,67,1512 MHz,10 %
2025-10-19 07:30:37.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,46 %,180.03 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,9 %
