timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:25:33.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,76,1395 MHz,86 %,269.61 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,22 %
2025-10-19 07:25:34.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,75,1380 MHz,89 %,283.43 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,23 %
2025-10-19 07:25:36.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,74,1410 MHz,0 %,108.99 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,0 %
2025-10-19 07:25:37.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,75,1410 MHz,45 %,123.46 W,4,13.50 W (freq-based estimate),326.16 W (est),16,69,1512 MHz,10 %
2025-10-19 07:25:38.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,75,1380 MHz,36 %,250.47 W,4,13.50 W (freq-based estimate),326.16 W (est),16,70,1512 MHz,8 %
2025-10-19 07:25:40.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,73,1410 MHz,27 %,129.85 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,6 %
2025-10-19 07:25:41.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,74,1410 MHz,37 %,136.84 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,8 %
2025-10-19 07:25:42.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,75,1410 MHz,37 %,131.36 W,4,13.50 W (freq-based estimate),326.16 W (est),16,69,1512 MHz,8 %
2025-10-19 07:25:44.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,74,1410 MHz,45 %,127.33 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,10 %
2025-10-19 07:25:45.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,46 %,135.18 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,10 %
