timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:19:22.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,251.98 W,52,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,22 %,78 %,4
2025-10-22 15:19:23.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,251.71 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,22 %,77 %,4
2025-10-22 15:19:25.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,260.48 W,52,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,23 %,81 %,4
2025-10-22 15:19:26.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,241.74 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,22 %,76 %,4
2025-10-22 15:19:27.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,256.67 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,24 %,81 %,4
2025-10-22 15:19:29.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,272.81 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,25 %,82 %,4
2025-10-22 15:19:30.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,217.42 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,24 %,77 %,4
2025-10-22 15:19:31.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,261.09 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,23 %,81 %,4
2025-10-22 15:19:33.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,211.26 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,26 %,84 %,4
2025-10-22 15:19:34.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,206.84 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,25 %,82 %,4
2025-10-22 15:19:35.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,210.11 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,26 %,83 %,4
2025-10-22 15:19:37.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,266.05 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,25 %,78 %,4
2025-10-22 15:19:38.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,207.44 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,25 %,78 %,4
2025-10-22 15:19:39.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,220.90 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,22 %,73 %,4
2025-10-22 15:19:41.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,211.48 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,22 %,75 %,4
2025-10-22 15:19:42.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,182.26 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,22 %,74 %,4
2025-10-22 15:19:43.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,210.11 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,24 %,76 %,4
2025-10-22 15:19:44.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,217.14 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,23 %,77 %,4
2025-10-22 15:19:46.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,228.87 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,23 %,78 %,4
2025-10-22 15:19:47.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,243.21 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,23 %,81 %,4
2025-10-22 15:19:48.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,235.57 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,22 %,77 %,4
2025-10-22 15:19:50.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,264.03 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,22 %,78 %,4
2025-10-22 15:19:51.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,217.42 W,53,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,22 %,76 %,4
2025-10-22 15:19:52.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,212.73 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,26 %,77 %,4
2025-10-22 15:19:54.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,217.69 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,26 %,77 %,4
2025-10-22 15:19:55.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,222.11 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,26 %,80 %,4
2025-10-22 15:19:56.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,212.46 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,23 %,77 %,4
2025-10-22 15:19:58.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,265.77 W,54,250.83 W (est),1410 MHz,1215 MHz,1.1 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,23 %,78 %,4
2025-10-22 15:19:59.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,250.24 W,49,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,5 %,20 %,4
