timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:06:05.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),15 %,1.2 %,252.50 W,4,81 %,13.50 W (freq-based estimate),47,1410 MHz,41,16
2025-10-19 07:06:06.4,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,280.70 W,4,81 %,13.50 W (freq-based estimate),49,1410 MHz,42,16
2025-10-19 07:06:07.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,254.85 W,4,81 %,13.50 W (freq-based estimate),50,1410 MHz,43,16
2025-10-19 07:06:09.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,263.70 W,4,87 %,13.50 W (freq-based estimate),51,1410 MHz,44,16
2025-10-19 07:06:10.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,272.22 W,4,85 %,13.50 W (freq-based estimate),52,1410 MHz,44,16
2025-10-19 07:06:11.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,282.49 W,4,81 %,13.50 W (freq-based estimate),52,1410 MHz,45,16
2025-10-19 07:06:12.9,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,277.20 W,4,80 %,13.50 W (freq-based estimate),52,1410 MHz,45,16
2025-10-19 07:06:14.2,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,256.93 W,4,83 %,13.50 W (freq-based estimate),52,1410 MHz,45,16
2025-10-19 07:06:15.5,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,282.17 W,4,85 %,13.50 W (freq-based estimate),53,1410 MHz,47,16
2025-10-19 07:06:16.8,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,251.35 W,4,86 %,13.50 W (freq-based estimate),54,1410 MHz,46,16
