timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:04:47.7,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),6 %,1.2 %,94.94 W,4,23 %,13.50 W (freq-based estimate),40,1410 MHz,39,16
2025-10-19 07:04:49.0,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),10 %,1.2 %,94.94 W,4,38 %,13.50 W (freq-based estimate),40,1410 MHz,39,16
2025-10-19 07:04:50.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1215 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,89.91 W,4,20 %,13.50 W (freq-based estimate),40,1215 MHz,39,16
2025-10-19 07:04:51.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,100.18 W,4,20 %,13.50 W (freq-based estimate),40,1410 MHz,38,16
2025-10-19 07:04:53.0,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),11 %,1.2 %,99.31 W,4,40 %,13.50 W (freq-based estimate),40,1410 MHz,38,16
2025-10-19 07:04:54.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1365 MHz,1215 MHz,0.0 %,250.99 W (est),11 %,1.2 %,99.91 W,4,39 %,13.50 W (freq-based estimate),41,1365 MHz,39,16
2025-10-19 07:04:55.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,96.08 W,4,20 %,13.50 W (freq-based estimate),40,1410 MHz,38,16
2025-10-19 07:04:56.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),6 %,1.2 %,99.91 W,4,23 %,13.50 W (freq-based estimate),40,1410 MHz,39,16
2025-10-19 07:04:58.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),8 %,1.2 %,203.98 W,4,28 %,13.50 W (freq-based estimate),41,1410 MHz,39,16
2025-10-19 07:04:59.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,99.04 W,4,19 %,13.50 W (freq-based estimate),40,1410 MHz,38,16
